Branch Code,Channel
1,NS
2,NS
3,NS
4,NS
5,PLC
6,PLC
7,NS
8,NS
9,NS
10,NS
11,NS
12,NS
13,NS
14,NS
15,NS
16,NS
17,NS
18,NS
30,Banca
31,Banca
32,Banca
33,Banca
34,Banca
35,Banca
36,Banca
37,Banca
38,Banca
39,NS
40,NS
75,Underwriting  Non Motor
76,Underwriting  Motor
77,Underwriting Marine 
78,Technical Consultant Dpt
79,R & D
80,Reinsurance Dpt
81,Non Motor Claim 
83,Motor Claim
84,Marketing Department
85,Legal Deparment
86,IT Dpt
87,Internal Audit
88,HR
89,Finance
90,E-Marketing
91,Corporate Business Unit
92,Corporate HR
94,CEO Office
95,Call Center
96,Business Operation - captive Business 
97,Risk and Compliance
98,Corporate Business Unit
99,Administration
A1,NS
A2,NS
A3,NS
A4,Banca
A5,Banca
A6,NS
A7,NS
A8,NS
AA,PLC
AB,PLC
AM,PLC
AN,PLC
AO,PLC
AS,PLC
AW,PLC
B1,NS
B2,NS
B3,NS
B4,NS
B5,NS
B6,Banca
B7,NS
B8,Banca
BC,Banca
BD,PLC
BG,PLC
BN,PLC
BT,PLC
BU,PLC
BW,PLC
C1,NS
C2,NS
C3,NS
CH,PLC
CK,NS
CO,PLC
CT,PLC
CW,PLC
D1,NS
D2,NS
D3,NS
D4,NS
D5,NS
DB,PLC
DI,PLC
DM,CBD
DV,PLC
DY,PLC
E1,NS
E2,NS
EL,PLC
EM,PLC
F1,Banca
F2,Banca
F3,Banca
F4,Banca
F5,Banca
F6,Banca
G1,NS
G2,PLC
G3,NS
G4,NS
G5,Banca
G6,Banca
G7,NS
G8,NS
G9,NS
GA,PLC
GB,PLC
GK,NS
GL,PLC
GO,PLC
GP,PLC
GR,PLC
GU,PLC
H1,NS
H2,Banca
H3,NS
H4,NS
H5,NS
H6,NS
H7,NS
HC,PLC
HF,NS
HG,PLC
HI,PLC
HM,PLC
HN,PLC
HO,Direct
HT,PLC
HW,PLC
IF,PLC
IK,PLC
J1,NS
J2,Banca
J3,NS
JF,PLC
JL,PLC
K1,NS
K2,NS
K3,NS
K4,PLC
K5,NS
K6,PLC
K7,NS
K8,NS
K9,NS
KA,PLC
KB,PLC
KC,PLC
KD,PLC
KE,PLC
KF,Banca
KG,PLC
KH,NS
KI,PLC
KJ,Banca
KK,PLC
KL,PLC
KM,PLC
KN,PLC
KO,PLC
KP,Banca
KQ,NS
KR,PLC
KS,NS
KT,PLC
KU,PLC
KV,PLC
KW,PLC
KX,PLC
KY,PLC
KZ,Banca
M1,NS
M2,NS
M3,NS
M4,PLC
M5,PLC
M6,NS
M7,NS
M8,Banca
M9,NS
MA,PLC
MB,Banca
MC,NS
ME,PLC
MG,PLC
MH,Banca
MI,PLC
ML,PLC
MM,PLC
MN,PLC
MO,PLC
MQ,NS
MR,PLC
MT,PLC
MU,NS
MW,PLC
MX,PLC
MY,PLC
MZ,PLC
N1,NS
N2,NS
N3,NS
N4,NS
N5,NS
N6,Banca
N7,Banca
N8,NS
N9,NS
NA,PLC
NB,NS
NC,NS
ND,NS
NE,PLC
NF,PLC
NG,PLC
NL,PLC
NM,PLC
NT,PLC
NU,PLC
NW,PLC
P1,NS
P2,Direct
P3,NS
P4,NS
P5,PLC
P6,NS
P7,NS
P8,Banca
P9,NS
PA,PLC
PB,Banca
PC,Banca
PI,PLC
PL,PLC
PM,PLC
PQ,NS
PT,PLC
PU,PLC
PW,PLC
R1,NS
R2,Banca
R3,NS
RA,Banca
RB,Banca
RC,Banca
RD,Banca
RE,Banca
RF,Banca
RG,PLC
RH,Banca
RI,Banca
RJ,Banca
RP,PLC
S1,Banca
SA,Banca
SB,Banca
SC,Banca
SD,Banca
SE,Banca
SF,Banca
SG,Banca
SH,Banca
SI,Banca
SJ,Banca
SK,Banca
SL,Banca
SM,Banca
SN,Banca
T1,NS
T2,Banca
T3,NS
T4,NS
T5,NS
T6,NS
TG,PLC
TM,PLC
TR,PLC
TS,PLC
TW,PLC
U1,NS
U2,NS
U3,NS
UB,PLC
UD,PLC
V1,NS
V2,Banca
VA,PLC
W1,NS
W2,NS
W3,NS
W4,NS
W5,NS
W6,NS
W7,NS
W8,NS
W9,NS
WD,PLC
WK,PLC
WL,PLC
WM,PLC
WN,Banca
WP,PLC
WR,PLC
WS,Banca
WT,PLC
WW,PLC
WY,PLC
